,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
1537,NOTD,Wanted,1lGVyEkGHUz7Pg78QGaS4a,72,2,9,5,88136,76,0.693,0.674,5,-4.449,1,0.0723,0.185,0.0,0.0639,0.378,95.972,160998,4,6,4
1538,Still Woozy,Lava,2dIeraguJ8SoHDqXfSZelZ,66,1,5,5,254191,73,0.62,0.616,1,-10.071,1,0.143,0.304,0.00954,0.264,0.67,169.139,157303,4,4,11
1539,James Bay,Bad,3xRcQ04b0l5RiU2w7lJhCD,75,1,5,5,2587190,80,0.549,0.413,4,-5.587,1,0.0362,0.756,0.0,0.0939,0.29,139.981,225920,4,3,9
1540,Gucci Mane,Ice (feat. Gunna & Lil Baby),6KCt9V6Lev0M04rFUj8ANC,66,3,6,5,2958349,87,0.861,0.52,10,-5.498,0,0.472,0.193,0.0,0.109,0.384,153.899,177243,4,28,10
1541,Hobo Johnson,Typical Story,3EY1vEkydU2oguC17jzhTZ,66,1,9,5,421910,70,0.421,0.935,7,-2.601,1,0.438,0.00978,0.0,0.165,0.645,155.855,191069,4,13,12
1542,Kevin Gates,Luv Bug,2ShqM95Kj8k0eCQkd7pVrT,64,1,5,5,2744616,83,0.832,0.515,9,-7.112,0,0.375,0.0257,6.98e-05,0.0957,0.653,139.997,185143,4,7,11
1543,ILLENIUM,Hold On (with Georgia Ku),5Cevkgj9FyNRFIwY3xSCn8,67,2,8,5,723107,84,0.506,0.744,9,-3.605,1,0.042,0.0463,6.62e-06,0.52,0.396,76.056,235263,4,25,8
1544,bbno$,sriracha,27uqXX6GcgnvzE2QzNaj4z,69,2,4,5,335688,85,0.919,0.484,5,-8.991,0,0.208,0.0949,0.0,0.0969,0.963,100.014,129600,4,8,5
1545,Wisin & Yandel,Chica Bombastic,0PabDDMMzwmn9cfJsfes7W,78,1,10,5,3162632,84,0.777,0.754,8,-3.392,1,0.185,0.0384,0.0,0.0393,0.78,171.992,193147,4,15,14
1546,NoCap,Ghetto Angels,0T6DHuLI3NANOAFPgE8AXR,65,1,5,2,107728,69,0.68,0.669,2,-5.621,0,0.191,0.107,0.0,0.112,0.429,152.174,235263,4,13,5
1547,Tyga,Haute (feat. J Balvin & Chris Brown),1rYC34UUszS0QzzECNRhYb,73,3,6,3,5207923,91,0.946,0.723,9,-3.692,1,0.114,0.0778,0.0,0.0608,0.349,102.956,160877,4,36,4
1548,Tyga,Goddamn (feat. A Boogie wit da Hoodie),0Zl4G9qcdXV5hVhdOirNHG,72,2,4,1,5207923,91,0.951,0.573,0,-6.002,0,0.227,0.0667,0.0,0.119,0.42,105.052,211040,4,38,4
1549,Tom Walker,Just You and I,2n48BjaFSczfeIG3HaIaPv,77,1,1,5,556393,79,0.567,0.696,9,-5.416,1,0.301,0.456,0.0,0.113,0.544,92.061,174983,4,14,10
1550,Lil Durk,No Label,4WznHDEzfBcZOVFFNkDUBt,66,1,2,5,1271037,80,0.766,0.478,10,-8.287,1,0.479,0.0285,0.0,0.17,0.303,99.857,144661,4,8,8
