,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_len,artist_len,duration
5318,0,1,4,3,123579,65,0.631,0.6,2,-7.912000000000001,1,0.0589,0.16699999999999998,6.3e-05,0.10099999999999999,0.525,76.015,4,14,8,197.814
5319,0,1,11,5,162372,66,0.496,0.5579999999999999,9,-8.499,1,0.0452,0.0282,0.0939,0.134,0.133,149.002,4,15,8,225.689
5320,0,1,10,2,243264,73,0.698,0.8290000000000001,7,-5.444,0,0.0416,0.0041600000000000005,0.0017800000000000001,0.195,0.0915,115.03299999999999,3,10,10,200.085
5321,1,2,6,5,416400,70,0.606,0.629,11,-10.814,0,0.0336,0.187,1.3000000000000001e-05,0.0422,0.58,116.975,4,11,9,204.0
5322,1,2,3,5,2350327,80,0.221,0.126,0,-25.427,1,0.0447,0.9890000000000001,0.897,0.102,0.21600000000000003,133.63,4,78,21,139.30700000000002
5323,0,3,11,2,107728,69,0.6709999999999999,0.636,0,-6.0089999999999995,1,0.19699999999999998,0.259,0.0,0.10300000000000001,0.457,152.029,4,52,5,239.895
5324,0,1,10,4,186376,67,0.604,0.57,0,-8.74,1,0.183,0.204,1.36e-05,0.11900000000000001,0.23399999999999999,79.845,4,10,7,266.0
5325,1,2,1,5,1727797,71,0.846,0.848,5,-4.752,1,0.121,0.10400000000000001,0.0,0.0837,0.5529999999999999,91.971,4,14,17,214.413
5326,0,1,11,5,256995,67,0.7190000000000001,0.8909999999999999,11,-3.565,0,0.281,0.006370000000000001,0.0312,0.8140000000000001,0.595,146.291,4,15,4,111.781
5327,0,1,7,5,822191,78,0.584,0.478,10,-6.93,0,0.0355,0.627,0.203,0.127,0.489,125.035,4,8,4,190.07
5328,0,2,3,5,405166,81,0.46,0.737,11,-5.332000000000001,0,0.0775,0.591,0.0,0.0811,0.382,104.715,4,29,12,245.187
5329,0,3,6,5,38272,56,0.777,0.542,2,-7.778,1,0.0685,0.0567,0.0,0.10300000000000001,0.325,134.032,4,24,12,172.385
5330,0,2,9,5,1457854,73,0.514,0.856,2,-4.285,1,0.0717,0.00123,6.34e-06,0.544,0.35100000000000003,117.014,4,28,16,228.502
